mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9817869663238525,0.07156553122277848,0.14055986404418946,0.030783307036460098,5,sqrt,8,5,200,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.86,0.8349514563106796,0.8468468468468469,0.8440366972477065,0.8653846153846154,0.8502439231579697,0.011030420841379647,107
1.535483455657959,0.06277268611621889,0.14003195762634277,0.033967700519918445,5,sqrt,8,5,300,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.86,0.8349514563106796,0.8468468468468469,0.8545454545454545,0.8653846153846154,0.8523456746175192,0.01064178220485265,95
0.46552176475524903,0.05649707845115419,0.07857389450073242,0.01187189206623971,5,sqrt,8,10,100,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.86,0.8349514563106796,0.8363636363636363,0.8440366972477065,0.8543689320388349,0.8459441443921714,0.009846906150768633,135
0.8848579883575439,0.06420686006311054,0.09923877716064453,0.01972152629509169,5,sqrt,8,10,200,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.86,0.8349514563106796,0.8468468468468469,0.8440366972477065,0.8653846153846154,0.8502439231579697,0.011030420841379647,107
1.2524199962615967,0.0607368152096101,0.15911664962768554,0.02557774769859646,5,sqrt,8,10,300,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 10, 'model__n_estimators': 300}",0.86,0.8349514563106796,0.8468468468468469,0.8545454545454545,0.8653846153846154,0.8523456746175192,0.01064178220485265,95
0.4978306770324707,0.036108014579431524,0.07622833251953125,0.018768186890090077,5,sqrt,8,20,100,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 20, 'model__n_estimators': 100}",0.86,0.8349514563106796,0.8363636363636363,0.8288288288288288,0.8543689320388349,0.8429025707083959,0.012065219629703536,167
0.9259079933166504,0.09190802582933968,0.1028754711151123,0.012205805198185546,5,sqrt,8,20,200,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.86,0.8349514563106796,0.8363636363636363,0.8440366972477065,0.8653846153846154,0.8481472810613276,0.012389460144106412,125
1.2967406272888184,0.04376702014729504,0.1396941661834717,0.021270224885040812,5,sqrt,8,20,300,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 8, 'model__min_samples_split': 20, 'model__n_estimators': 300}",0.86,0.8349514563106796,0.8363636363636363,0.8545454545454545,0.8653846153846154,0.8502490325208771,0.012405212952364773,105
0.45607686042785645,0.020785614229112792,0.08021607398986816,0.013598919598307757,5,sqrt,16,5,100,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 16, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.8514851485148515,0.8349514563106796,0.8214285714285714,0.8173913043478261,0.8461538461538461,0.834282065351155,0.013325490214700279,211
0.8450758457183838,0.046493013558986315,0.11094365119934083,0.02278800749111663,5,sqrt,16,5,200,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 16, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.8431372549019608,0.8349514563106796,0.8288288288288288,0.831858407079646,0.8543689320388349,0.8386289758319899,0.009203025957906867,187
1.37358660697937,0.06525183914121294,0.1339118480682373,0.042099612605468614,5,sqrt,16,5,300,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 16, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.8514851485148515,0.8349514563106796,0.8288288288288288,0.8392857142857143,0.8653846153846154,0.8439871526649381,0.013019934451184134,159
0.476497220993042,0.05307241058458483,0.07535581588745117,0.010969572447824911,5,sqrt,16,10,100,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 16, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.8514851485148515,0.8349514563106796,0.8214285714285714,0.8173913043478261,0.8461538461538461,0.834282065351155,0.013325490214700279,211
0.9103639602661133,0.09714353873669787,0.13650016784667968,0.03683208974001816,5,sqrt,16,10,200,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 16, 'model__min_samples_split': 10, 'model__n_estimators': 200}",0.8431372549019608,0.8349514563106796,0.8288288288288288,0.831858407079646,0.8543689320388349,0.8386289758319899,0.009203025957906867,187
1.4552320480346679,0.05478680548419454,0.14277024269104005,0.012642021200084036,5,sqrt,16,10,300,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 16, 'model__min_samples_split': 10, 'model__n_estimators': 300}",0.8514851485148515,0.8349514563106796,0.8288288288288288,0.8392857142857143,0.8653846153846154,0.8439871526649381,0.013019934451184134,159
0.5856956958770752,0.03377979420956708,0.08659834861755371,0.013074710635364707,5,sqrt,16,20,100,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 16, 'model__min_samples_split': 20, 'model__n_estimators': 100}",0.8514851485148515,0.8349514563106796,0.8214285714285714,0.8173913043478261,0.8461538461538461,0.834282065351155,0.013325490214700279,211
0.9435238838195801,0.028938863356995546,0.10524826049804688,0.014531110358543398,5,sqrt,16,20,200,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 16, 'model__min_samples_split': 20, 'model__n_estimators': 200}",0.8431372549019608,0.8349514563106796,0.8288288288288288,0.831858407079646,0.8543689320388349,0.8386289758319899,0.009203025957906867,187
1.343191385269165,0.03397671790222665,0.14300823211669922,0.021647659259436403,5,sqrt,16,20,300,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 16, 'model__min_samples_split': 20, 'model__n_estimators': 300}",0.8514851485148515,0.8349514563106796,0.8288288288288288,0.8392857142857143,0.8653846153846154,0.8439871526649381,0.013019934451184134,159
0.4982426643371582,0.0446329737705609,0.07351770401000976,0.0068005214128251485,5,log2,4,5,100,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.86,0.8349514563106796,0.8256880733944955,0.8440366972477065,0.8653846153846154,0.8460121684674995,0.014901421482736812,133
0.9255015850067139,0.037436164991060276,0.10295634269714356,0.011449605584454878,5,log2,4,5,200,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 200}",0.86,0.8349514563106796,0.8545454545454545,0.8440366972477065,0.8653846153846154,0.8517836446976912,0.010985993377061775,101
1.4254182815551757,0.05099136725220891,0.14741783142089843,0.036062150907700014,5,log2,4,5,300,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.86,0.8349514563106796,0.8333333333333334,0.8440366972477065,0.8653846153846154,0.8475412204552668,0.01300965665148186,129
0.5035906314849854,0.02928282017454104,0.07117834091186523,0.01011678743310194,5,log2,4,10,100,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 10, 'model__n_estimators': 100}",0.86,0.8269230769230769,0.8363636363636363,0.8440366972477065,0.8543689320388349,0.8443384685146509,0.011940507903760571,157
